time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-06-13T22:50:11.138Z,-30.4442,-71.3771,47.51,5,mww,,81,0.319,0.54,us,us600040ir,2019-07-26T23:13:12.040Z,"24km NW of Ovalle, Chile",earthquake,4,4.6,0.06,27,reviewed,us,us
2019-06-13T21:13:30.031Z,-31.1858,-68.716,112.97,4.5,mb,,46,0.359,1.27,us,us600040hi,2019-07-26T21:41:15.040Z,"33km NNW of Albardon, Argentina",earthquake,7.6,8.3,0.192,8,reviewed,us,us
2019-06-13T16:12:32.178Z,-28.7348,-71.1183,60.01,4.3,mwr,,136,0.458,1.14,us,us600040dd,2019-07-24T13:59:44.040Z,"39km WSW of Vallenar, Chile",earthquake,5.1,4.9,0.056,31,reviewed,us,us
2019-06-12T21:38:08.619Z,-19.7621,-66.9829,231.37,4.3,mb,,55,2.076,0.44,us,us600042j0,2019-07-18T03:16:32.040Z,"59km N of Colchani, Bolivia",earthquake,14,11,0.237,5,reviewed,us,us
2019-06-12T07:36:17.226Z,-37.2352,-74.3681,27.27,4.3,mb,,140,1.061,0.46,us,us70003yf1,2019-07-08T09:28:26.040Z,"76km WNW of Lebu, Chile",earthquake,4,8.2,0.237,6,reviewed,us,us
2019-06-11T19:49:52.039Z,-28.2159,-67.4469,145.34,4.5,mb,,81,2.03,0.52,us,us600042fk,2019-07-13T20:42:07.040Z,"20km SE of Tinogasta, Argentina",earthquake,5.3,10.2,0.18,9,reviewed,us,us
2019-06-11T15:26:55.468Z,-21.9752,-68.6833,136.76,4.1,mb,,82,0.548,0.51,us,us70003y3p,2019-06-18T19:16:19.040Z,"60km NNE of Calama, Chile",earthquake,8.1,4.8,0.184,8,reviewed,us,us
2019-06-11T05:00:53.179Z,-18.8874,-70.3981,58.41,4.3,mwr,,137,0.516,0.77,us,us70003xys,2019-07-29T13:42:38.040Z,"46km SSW of Arica, Chile",earthquake,4,4.5,0.065,23,reviewed,us,us
2019-06-10T05:27:23.095Z,-22.3346,-68.6505,107.55,4.9,mww,,35,0.753,0.91,us,us70003xkb,2019-07-22T13:37:46.040Z,"32km ENE of Calama, Chile",earthquake,4,4.2,0.089,12,reviewed,us,us
2019-06-10T03:17:01.885Z,-31.9551,-71.2943,49.86,4.3,mwr,,76,0.604,0.75,us,us70003xjl,2019-06-19T02:20:34.174Z,"36km WSW of Salamanca, Chile",earthquake,4.6,2.4,0.041,58,reviewed,us,us
