DATE,LATITUDE,LONGITUDE,DEPTH,GAP,MAGNITUDE,MAGTYPE,DMIN,RMS,PLACE,TSUNAMI
1981-05-25 05:25:14.460,-48.786,164.357,33,,7.6,ms,,1.2,off the west coast of the South Island of New Zealand,1
1981-09-01 09:29:31.540,-14.96,-173.085,25,,7.7,ms,,1.2,Samoa Islands region,1
1981-10-25 03:22:15.570,18.048,-102.084,33,,7.3,ms,,1.2,"Guerrero, Mexico",1
1983-06-09 12:49:03.860,40.237,139.023,30.6,,6,mw,,0.9,"near the west coast of Honshu, Japan",1
1983-08-17 10:55:54.130,55.867,161.287,62.6,,7.1,mw,,1.2,"near the east coast of the Kamchatka Peninsula, Russia",1
1984-02-11 08:02:51.500,38.396,22.094,28.7,,5.6,mw,,1.2,Greece,1
1984-03-24 09:44:02.600,44.117,148.192,44.4,,7.2,mw,,1.2,Kuril Islands,1
1984-06-13 02:29:25.330,31.448,140.036,40.6,,5.7,mw,,1.4,"Izu Islands, Japan region",1
1985-03-03 22:47:07.280,-33.135,-71.871,33,,8,mw,,1,"offshore Valparaiso, Chile",1
1985-03-16 14:54:00.720,17.013,-62.448,13.4,,6.5,mw,,1,"Saint Kitts and Nevis region, Leeward Islands",1
1985-09-19 13:17:47.350,18.19,-102.533,27.9,,8,mw,,1.3,"Michoacan, Mexico",1
1985-09-21 01:37:13.470,17.802,-101.647,30.8,,7.6,mw,,1.2,"Guerrero, Mexico",1
1986-05-07 22:47:10.870,51.52,-174.776,33,,8,mw,,1.1,"Andreanof Islands, Aleutian Islands, Alaska",1
1987-02-06 13:16:17.890,36.988,141.689,47.7,,6.8,mw,,1,"near the east coast of Honshu, Japan",1
1987-02-08 18:33:58.390,-6.088,147.689,54.9,,7.4,ms,,1.3,"eastern New Guinea region, Papua New Guinea",1
1987-03-05 09:17:05.280,-24.388,-70.161,62.3,,7.6,mw,,1.2,"Antofagasta, Chile",1
1987-03-18 03:36:30.330,32.034,131.837,54,,6.7,mw,,1.2,"Kyushu, Japan",1
1987-03-24 12:49:47.020,37.447,137.865,23.3,,5.7,mw,,1.1,"near the west coast of Honshu, Japan",1
1987-10-06 04:19:06.080,-17.94,-172.225,16,,7.3,mw,,1,Tonga region,1
1987-10-12 13:57:04.790,-7.288,154.371,24.7,,7,mw,,1.1,"Bougainville region, Papua New Guinea",1
1987-10-16 20:48:01.640,-6.266,149.06,47.8,,7.4,mw,,1.2,"New Britain region, Papua New Guinea",1
1987-11-30 19:23:19.590,58.679,-142.786,10,,7.9,mw,,,Gulf of Alaska,1
1988-02-05 14:01:02.750,-24.753,-70.433,36.9,,7.2,mw,,1.1,"Antofagasta, Chile",1
1988-03-06 22:35:38.140,56.953,-143.032,10,,7.8,mw,,,Gulf of Alaska,1
1988-06-24 02:06:26.310,18.606,121.013,53.4,,5.7,mw,,1,"Luzon, Philippines",1
1988-07-05 20:32:07.200,-5.964,148.78,53.4,,6.8,mw,,1,"New Britain region, Papua New Guinea",1
1988-08-10 04:38:26.170,-10.366,160.819,34,,7.6,mw,,1.5,Solomon Islands,1
1989-09-04 13:14:58.250,55.543,-156.835,11.4,,7.1,mw,,1.2,south of Alaska,1
1989-10-18 00:04:15.190,37.0361667,-121.8798333,17.214,89,6.9,mh,0.008108,0.08,"Loma Prieta, California Earthquake",1
1989-10-29 05:25:38.270,39.571,143.333,9.6,,6.9,mw,,1,"off the east coast of Honshu, Japan",1
1990-02-08 07:15:32.230,9.755,124.694,25.9,,6.8,mw,,1.4,"Bohol, Philippines",1
1990-02-20 06:53:39.890,34.706,139.252,14.2,,6.4,mw,,1.3,"near the south coast of Honshu, Japan",1
1990-03-25 13:22:55.600,9.919,-84.808,22.2,,7.3,mw,,1.1,Costa Rica,1
1990-04-05 21:12:35.550,15.125,147.596,11.4,,7.6,mw,,1.2,Mariana Islands region,1
1990-09-23 21:13:07.460,33.267,138.643,10,,6.5,mw,,1.3,"Izu Islands, Japan region",1
1990-12-13 00:24:25.710,37.3,15.438,11.1,,5.6,mw,,1.4,"Sicily, Italy",1
1990-12-13 19:50:17.880,23.722,121.627,10,,6.7,mw,,1.1,Taiwan,1
1991-02-09 16:18:58.370,-9.929,159.139,10,,6.9,mw,,1.1,Solomon Islands,1
1991-02-16 01:23:40.440,48.268,154.328,38.9,,6.1,mw,,0.9,Kuril Islands,1
1991-02-21 02:35:34.050,58.427,-175.45,20.2,,6.7,mw,,1,Bering Sea,1
1991-04-22 21:56:51.820,9.685,-83.073,10,,7.6,mw,,1.2,Costa Rica,1
1991-10-14 15:58:12.790,-9.094,158.442,23.4,,7.2,mw,,1.3,Solomon Islands,1
1992-04-25 18:06:05.180,40.3353333,-124.2286667,9.856,115,7.2,mh,0.1072,0.07,"20km SSW of Rio Dell, California",1
1992-05-17 10:15:31.310,7.191,126.762,33,,7.3,mwb,,1.1,"Mindanao, Philippines",1
1992-09-02 00:16:01.690,11.742,-87.34,44.8,,7.7,mw,,1.3,near the coast of Nicaragua,1
1992-12-12 05:29:26.350,-8.48,121.896,27.7,,7.8,mw,,1.4,"Flores region, Indonesia",1
1993-02-07 13:27:42.010,37.634,137.245,10.6,,6.6,mwb,,0.9,"near the west coast of Honshu, Japan",1
1993-06-08 13:03:36.480,51.218,157.829,70.6,,7.5,mw,,1,"near the east coast of the Kamchatka Peninsula, Russia",1
1993-07-12 13:17:11.960,42.851,139.197,16.7,,7.7,mw,,1,"Hokkaido, Japan region",1
1993-08-07 19:42:41.910,41.985,139.839,13.8,,6.5,mwb,,0.9,"Hokkaido, Japan region",1
1993-08-08 08:34:24.930,12.982,144.801,59.3,,7.8,mw,,1.1,Guam region,1
1993-11-13 01:18:04.180,51.934,158.647,34,,7,mw,,1,"near the east coast of the Kamchatka Peninsula, Russia",1
1994-01-21 02:24:29.960,1.015,127.733,19.9,,7,mwb,,1.2,"Halmahera, Indonesia",1
1994-04-08 01:10:40.840,40.608,143.683,13.3,,6.4,mwb,,1,"off the east coast of Honshu, Japan",1
1994-06-02 18:17:34.020,-10.477,112.835,18.4,,7.8,mw,,1.1,"south of Java, Indonesia",1
1994-06-03 21:06:59.880,-10.362,112.892,25.9,,6.6,mw,,1.2,"south of Java, Indonesia",1
